Date	Direction	Distance	Frames	fps	Speed est.		
9/17/23, 5:55:03 AM	N	18	12	4	21.6		
9/17/23, 6:52:13 AM	N	17	8	4	30.6		
9/17/23, 7:59:42 AM	S	18	12	4	21.6		
9/17/23, 8:33:08 AM	N	19	7	4	39.0857142857143		
9/17/23, 8:42:54 AM	S	18	6	4	43.2
9/17/23, 9:15:29 AM	S	18	8	4	32.4		
9/17/23, 10:04:11 AM	N	17	9	4	27.2		
9/17/23, 10:10:49 AM	N	18	14	4	18.5142857142857		
9/17/23, 10:51:11 AM	S	18	9	4	28.8		
9/17/23, 10:52:55 AM	N	18	10	4	25.92		
9/17/23, 10:55:27 AM	N	18	12	4	21.6		
9/17/23, 11:01:07 AM	N	18	22	4	11.7818181818182		
9/17/23, 11:41:18 AM	N	6	5	4	17.28		
9/17/23, 11:47:36 AM	S	18	14	4	18.5142857142857		
9/17/23, 12:07:22 PM	N	6	6	4	14.4		
9/17/23, 12:08:38 PM	N	6	6	4	14.4		
9/17/23, 12:44:06 PM	N	18	24	4	10.8		
9/17/23, 1:18:25 PM	S	17	7	4	34.9714285714286		
9/17/23, 1:35:43 PM	S	18	10	4	25.92		
9/17/23, 1:49:45 PM	N	18	12	4	21.6		
9/17/23, 2:03:37 PM	S	18	12	4	21.6		
9/17/23, 2:06:26 PM	N	6	3	4	28.8		
9/17/23, 2:11:06 PM	N	6	4	4	21.6		
9/17/23, 3:12:56 PM	S	18	7	4	37.0285714285714
9/17/23, 3:20:44 PM	N	18	12	4	21.6		
9/17/23, 3:34:57 PM	N	18	10	4	25.92		
9/17/23, 3:38:46 PM	N	18	13	4	19.9384615384615		
9/17/23, 4:07:20 PM	S	18	8	4	32.4		
9/17/23, 4:09:54 PM	S	18	7	4	37.0285714285714
9/17/23, 4:41:15 PM	S	17	8	4	30.6		
9/17/23, 4:49:25 PM	S	18	9	4	28.8		
9/17/23, 4:57:41 PM	N	18	9	4	28.8		
9/17/23, 5:02:40 PM	N	18	5	4	51.84
9/17/23, 5:03:52 PM	N	18	15	4	17.28		
9/17/23, 5:14:11 PM	S	18	12	4	21.6		
9/17/23, 5:25:58 PM	N	18	10	4	25.92		
9/17/23, 5:41:27 PM	S	18	10	4	25.92		
9/17/23, 6:07:38 PM	N	18	9	4	28.8		
9/17/23, 6:14:29 PM	S	18	7	4	37.0285714285714		
9/17/23, 6:15:15 PM	N	18	10	4	25.92		
9/17/23, 6:19:33 PM	N	18	9	4	28.8		
9/17/23, 6:21:59 PM	N	6	3	4	28.8		
9/17/23, 7:02:52 PM	N	18	11	4	23.5636363636364
9/18/23, 5:47:39 AM	S	18	14	4	18.5142857142857		
9/18/23, 6:01:32 AM	S	18	10	4	25.92		
9/18/23, 6:04:20 AM	S	18	9	4	28.8		
9/18/23, 6:24:58 AM	S	18	9	4	28.8		
9/18/23, 6:51:35 AM	S	18	7	4	37.0285714285714
9/18/23, 7:07:35 AM	N	18	9	4	28.8		
9/18/23, 7:16:53 AM 	N	6	6	4	14.4		
9/18/23, 7:41:37 AM	S	18	10	4	25.92		
9/18/23, 7:49:53 AM	N	18	9	4	28.8		
9/18/23, 8:00:43 AM	S	18	9	4	28.8		
9/18/23, 8:01:59 AM	N	18	11	4	23.5636363636364		
9/18/23, 8:03:25 AM	N	18	9	4	28.8		
9/18/23, 8:03:45 AM	N	6	3	4	28.8		
9/18/23, 8:06:43 AM	N	6	3	4	28.8		
9/18/23, 8:07:21 AM	N	18	9	4	28.8		
9/18/23, 8:08:57 AM	N	18	7	4	37.0285714285714		
