Date	Direction	Distance	Frames	fps	Speed est.		
1/9/24, 1:34:03 AM GMT+3	S	18	13	4	19.9384615384615		
1/9/24, 4:56:48 AM GMT+3	S	18	11	4	23.5636363636364		
1/9/24, 5:41:16 AM GMT+3	S	18	10	4	25.92		
1/9/24, 6:55:22 AM GMT+3	S	18	10	4	25.92
1/9/24, 7:01:44 AM GMT+3	N	18	9	4	28.8		
1/9/24, 7:06:10 AM GMT+3	N	18	12	4	21.6		
1/9/24, 7:17:44 AM GMT+3	S	18	6	4	43.2		
1/9/24, 7:47:34 AM GMT+3	N	18	12	4	21.6		
1/9/24, 7:49:54 AM GMT+3	N	18	17	4	15.2470588235294		
1/9/24, 7:52:50 AM GMT+3	S	18	9	4	28.8		
1/9/24, 7:59:08 AM GMT+3	N	18	14	4	18.5142857142857		
1/9/24, 8:00:56 AM GMT+3	S	18	10	4	25.92		
1/9/24, 8:01:34 AM GMT+3	N	19	12	4	22.8		
1/9/24, 8:02:00 AM GMT+3	N	19	12	4	22.8		
1/9/24, 8:04:34 AM GMT+3	N	18	12	4	21.6		
1/9/24, 8:06:04 AM GMT+3	S	19	11	4	24.8727272727273		
1/9/24, 8:06:46 AM GMT+3	N	18	12	4	21.6		
1/9/24, 8:09:10 AM GMT+3	S	18	13	4	19.9384615384615		
1/9/24, 8:09:46 AM GMT+3	N	18	14	4	18.5142857142857		
1/9/24, 8:10:08 AM GMT+3	N	18	10	4	25.92		
1/9/24, 8:10:52 AM GMT+3	N	18	11	4	23.5636363636364		
1/9/24, 8:11:22 AM GMT+3	S	18	10	4	25.92		
1/9/24, 8:12:30 AM GMT+3	N	18	11	4	23.5636363636364		
1/9/24, 8:13:08 AM GMT+3	N	19	8	4	34.2		
1/9/24, 8:15:48 AM GMT+3	N	18	9	4	28.8		
1/9/24, 8:22:08 AM GMT+3	N	18	10	4	25.92		
1/9/24, 8:26:50 AM GMT+3	N	18	12	4	21.6		
1/9/24, 8:28:10 AM GMT+3	S	18	11	4	23.5636363636364		
1/9/24, 8:32:54 AM GMT+3	S	19	8	4	34.2		
1/9/24, 8:34:06 AM GMT+3	S	18	8	4	32.4		
1/9/24, 8:35:38 AM GMT+3	N	19	11	4	24.8727272727273		
1/9/24, 8:37:42 AM GMT+3	N	19	15	4	18.24		
1/9/24, 8:38:56 AM GMT+3	N	18	7	4	37.0285714285714		
1/9/24, 8:42:46 AM GMT+3	N	18	11	4	23.5636363636364		
1/9/24, 8:44:16 AM GMT+3	S	19	8	4	34.2		
1/9/24, 8:50:24 AM GMT+3	N	18	9	4	28.8		
1/9/24, 8:50:52 AM GMT+3	S	18	11	4	23.5636363636364		
1/9/24, 8:53:52 AM GMT+3	S	19	10	4	27.36		
1/9/24, 9:03:28 AM GMT+3	N	19	11	4	24.8727272727273		
